date,rides
2019-01-01,4540
2019-01-02,6567
2019-01-03,7604
2019-01-04,7362
2019-01-05,5106
2019-01-06,6050
2019-01-07,6216
2019-01-08,7655
2019-01-09,6408
2019-01-10,5562
2019-01-11,5677
2019-01-12,3629
2019-01-13,628
2019-01-14,1522
2019-01-15,3779
2019-01-16,4942
2019-01-17,5085
2019-01-18,5732
2019-01-19,3566
2019-01-20,2590
2019-01-21,1592
2019-01-22,4585
2019-01-23,6708
2019-01-24,3876
2019-01-25,6263
2019-01-26,4494
2019-01-27,4500
2019-01-28,6325
2019-01-29,4335
2019-01-30,4020
2019-01-31,3862
2019-02-01,2467
2019-02-02,3420
2019-02-03,5052
2019-02-04,7797
2019-02-05,9213
2019-02-06,6944
2019-02-07,7851
2019-02-08,6651
2019-02-09,4027
2019-02-10,3924
2019-02-11,3244
2019-02-12,2585
2019-02-13,7303
2019-02-14,7452
2019-02-15,9177
2019-02-16,5701
2019-02-17,3991
2019-02-18,4589
2019-02-19,6319
2019-02-20,941
2019-02-21,6591
2019-02-22,7183
2019-02-23,2754
2019-02-24,5198
2019-02-25,5922
2019-02-26,7560
2019-02-27,6831
2019-02-28,7443
2019-03-01,4069
2019-03-02,5371
2019-03-03,2309
2019-03-04,6265
2019-03-05,6760
2019-03-06,5537
2019-03-07,6629
2019-03-08,4695
2019-03-09,5606
2019-03-10,6530
2019-03-11,9615
2019-03-12,8935
2019-03-13,9206
2019-03-14,11578
2019-03-15,11673
2019-03-16,8728
2019-03-17,7660
2019-03-18,8019
2019-03-19,9471
2019-03-20,9990
2019-03-21,2053
2019-03-22,6890
2019-03-23,7672
2019-03-24,10883
2019-03-25,8923
2019-03-26,9269
2019-03-27,9802
2019-03-28,11478
2019-03-29,12712
2019-03-30,17911
2019-03-31,7572
2019-04-01,8865
2019-04-02,7895
2019-04-03,13142
2019-04-04,13243
2019-04-05,5908
2019-04-06,18346
2019-04-07,14897
2019-04-08,10955
2019-04-09,13025
2019-04-10,12721
2019-04-11,11852
2019-04-12,9628
2019-04-13,14618
2019-04-14,9913
2019-04-15,8271
2019-04-16,11898
2019-04-17,12447
2019-04-18,12952
2019-04-19,8372
2019-04-20,14314
2019-04-21,10996
2019-04-22,12209
2019-04-23,13243
2019-04-24,13234
2019-04-25,12339
2019-04-26,8808
2019-04-27,12052
2019-04-28,9876
2019-04-29,10172
2019-04-30,11801
2019-05-01,11941
2019-05-02,9894
2019-05-03,12464
2019-05-04,11034
2019-05-05,2689
2019-05-06,11702
2019-05-07,12282
2019-05-08,11619
2019-05-09,11439
2019-05-10,10577
2019-05-11,8237
2019-05-12,3309
2019-05-13,6606
2019-05-14,10926
2019-05-15,12328
2019-05-16,12247
2019-05-17,13542
2019-05-18,12856
2019-05-19,11315
2019-05-20,11488
2019-05-21,12810
2019-05-22,12701
2019-05-23,11362
2019-05-24,12562
2019-05-25,11871
2019-05-26,11264
2019-05-27,11259
2019-05-28,10016
2019-05-29,12001
2019-05-30,10534
2019-05-31,12829
2019-06-01,12232
2019-06-02,9829
2019-06-03,12746
2019-06-04,13610
2019-06-05,12378
2019-06-06,12609
2019-06-07,13550
2019-06-08,13731
2019-06-09,6183
2019-06-10,8341
2019-06-11,12981
2019-06-12,12621
2019-06-13,9489
2019-06-14,13648
2019-06-15,12834
2019-06-16,10339
2019-06-17,10022
2019-06-18,9612
2019-06-19,12239
2019-06-20,11359
2019-06-21,13449
2019-06-22,13824
2019-06-23,11995
2019-06-24,10930
2019-06-25,12334
2019-06-26,12581
2019-06-27,11278
2019-06-28,11930
2019-06-29,10838
2019-06-30,10632
2019-07-01,12386
2019-07-02,10777
2019-07-03,12578
2019-07-04,10334
2019-07-05,12146
2019-07-06,10172
2019-07-07,10048
2019-07-08,8418
2019-07-09,12972
2019-07-10,12629
2019-07-11,8668
2019-07-12,13344
2019-07-13,12947
2019-07-14,10888
2019-07-15,12268
2019-07-16,12131
2019-07-17,10296
2019-07-18,12533
2019-07-19,12074
2019-07-20,10451
2019-07-21,8054
2019-07-22,10660
2019-07-23,9743
2019-07-24,12374
2019-07-25,13381
2019-07-26,13540
2019-07-27,13079
2019-07-28,11029
2019-07-29,12152
2019-07-30,12455
2019-07-31,12118
2019-08-01,12822
2019-08-02,12267
2019-08-03,11917
2019-08-04,11338
2019-08-05,11962
2019-08-06,12077
2019-08-07,11359
2019-08-08,12783
2019-08-09,12923
2019-08-10,12711
2019-08-11,11866
2019-08-12,12015
2019-08-13,11292
2019-08-14,12358
2019-08-15,10972
2019-08-16,12309
2019-08-17,11004
2019-08-18,9592
2019-08-19,10545
2019-08-20,8890
2019-08-21,11668
2019-08-22,11722
2019-08-23,8176
2019-08-24,12516
2019-08-25,11544
2019-08-26,11685
2019-08-27,12230
2019-08-28,11395
2019-08-29,12704
2019-08-30,12134
2019-08-31,11268
2019-09-01,12005
2019-09-02,9082
2019-09-03,11872
2019-09-04,11745
2019-09-05,12558
2019-09-06,12501
2019-09-07,12492
2019-09-08,10736
2019-09-09,11892
2019-09-10,12539
2019-09-11,11461
2019-09-12,11895
