,street,station_id,lat,lon,capacity
0,Eads St & 15th St S,1,38.858971,-77.05323,15
1,18th St & S Eads St,2,38.85725,-77.05332,11
2,Crystal Dr & 20th St S,3,38.856425,-77.049232,17
3,Crystal Dr & 15th St S,4,38.86017,-77.049593,11
4,Aurora Hills Cmty Ctr / 18th St & S Hayes St,5,38.857866,-77.05949,11
5,Pentagon City Metro / 12th St & S Hayes St,6,38.862303,-77.059936,19
6,Army Navy Dr & S Joyce St,7,38.8637,-77.0633,15
7,Crystal City Metro / 18th St & S Bell St,8,38.85740496261504,-77.05113172531128,19
8,Crystal Dr & 27th St S,10,38.848466,-77.051514,11
9,S Glebe Rd & Potomac Ave,11,38.8426,-77.0502,11
10,Crystal Dr & 23rd St S,12,38.8533,-77.0498,17
11,Clark St & 26th St S,13,38.850688,-77.05152,11
12,19th St & Pennsylvania Ave NW,14,38.9003,-77.0429,15
13,14th & V St NW,15,38.9177645,-77.032096,31
14,11th & Kenyon St NW,16,38.929464,-77.027822,27
15,16th & Harvard St NW,17,38.926088,-77.036536,33
16,Adams Mill & Columbia Rd NW,18,38.922925,-77.042581,15
17,14th & Harvard St NW,19,38.9268,-77.0322,19
18,Calvert & Biltmore St NW,20,38.923203,-77.047637,23
19,Lamont & Mt Pleasant NW,21,38.9319,-77.0388,19
20,4th & M St SW,22,38.876697,-77.0178975,23
21,15th & P St NW,23,38.909868,-77.034421,19
22,14th & R St NW,24,38.913046,-77.032008,19
23,14th & Rhode Island Ave NW,25,38.9086,-77.0323,23
24,20th & E St NW,26,38.8963,-77.045,15
25,21st & I St NW,27,38.90071062547463,-77.04644858837128,35
26,Georgia & New Hampshire Ave NW,28,38.9366839345886,-77.02418088912964,19
27,14th St & Spring Rd NW,29,38.9375,-77.0328,19
28,John McCormack Dr & Michigan Ave NE,30,38.9346,-76.9955,11
29,5th & K St NW,31,38.90304,-77.019027,19
30,19th & East Capitol St SE,32,38.8896,-76.9769,15
31,Park Rd & Holmead Pl NW,33,38.9308,-77.0315,19
32,Good Hope & Naylor Rd SE,34,38.86005647007575,-76.96783974766731,11
33,Connecticut Ave & Newark St NW / Cleveland Park,35,38.934267,-77.057979,11
34,Randle Circle & Minnesota Ave SE,36,38.878,-76.9607,11
35,Minnesota Ave Metro/DOES,37,38.897063,-76.947446,15
36,Nannie Helen Burroughs & Minnesota Ave NE,38,38.901385,-76.941877,11
37,Anacostia Metro,39,38.862669,-76.994637,11
38,Good Hope Rd & MLK Ave SE,40,38.867373,-76.988039,11
39,19th & E Street NW,41,38.8952,-77.0436,11
40,4th & W St NE,42,38.919077,-77.000648,15
41,10th & U St NW,43,38.9172,-77.0259,15
42,Georgia Ave and Fairmont St NW,44,38.9249,-77.0222,11
43,1st & N St  SE,45,38.8743,-77.0057,39
44,20th St & Florida Ave NW,46,38.9154,-77.0446,15
45,7th & T St NW,47,38.9155,-77.0222,15
46,Eads St & 22nd St S,48,38.85438051517749,-77.05341160297394,15
47,M St & New Jersey Ave SE,49,38.8763,-77.0037,17
48,Massachusetts Ave & Dupont Circle NW,51,38.9101,-77.0444,45
49,1st & M St NE,52,38.905697,-77.005483,15
50,New Hampshire Ave & Ward Pl NW,53,38.90571079190728,-77.0473176240921,19
51,17th & K St NW,54,38.90276,-77.03863,23
52,3rd & H St NW,55,38.899408,-77.015289,15
53,3rd & D St SE,56,38.8851,-77.0023,11
54,Potomac & Pennsylvania Ave SE,57,38.8803,-76.9862,15
55,13th & E St SE,58,38.88291548476762,-76.98790669441223,15
56,17th & Corcoran St NW,59,38.9121,-77.0387,19
57,Van Ness Metro / UDC,60,38.944551,-77.063896,15
58,Florida Ave & R St NW,61,38.9126,-77.0135,15
59,8th & Eye St SE / Barracks Row,62,38.8792,-76.9953,11
60,Ward Circle / American University,63,38.938736,-77.087171,15
61,Wisconsin Ave & Newark St NW,64,38.934881,-77.072755,19
62,14th St Heights / 14th & Crittenden St NW,65,38.947774,-77.032818,11
63,Anacostia Library,66,38.865784,-76.9784,11
64,Pennsylvania & Minnesota Ave SE,67,38.873057,-76.971015,11
65,Eastern Market / 7th & North Carolina Ave SE,68,38.886952,-76.996806,15
66,14th St & New York Ave NW,69,38.899632,-77.031686,23
67,Benning Branch Library,70,38.894,-76.947974,11
68,USDA / 12th & C St SW,71,38.88627694506511,-77.02824175357819,39
69,Georgetown Harbor / 30th St NW,72,38.902314,-77.0591415,19
70,12th & Newton St NE,73,38.933668,-76.991016,11
71,US Dept of State / Virginia Ave & 21st St NW,74,38.894919,-77.046587,15
72,L'Enfant Plaza / 7th & C St SW,75,38.886266,-77.022241,15
73,10th St & Constitution Ave NW,76,38.893028,-77.026013,31
74,Kennedy Center,77,38.897293,-77.05557,19
75,Eastern Market Metro / Pennsylvania Ave & 8th St SE,78,38.884260087971725,-76.99473559856415,19
76,18th & M St NW,79,38.90506687455313,-77.04177886247635,27
77,Tenleytown / Wisconsin Ave & Albemarle St NW,80,38.947607,-77.079382,15
78,13th & H St NE,81,38.90042673988099,-76.98825001716614,27
79,5th & F St NW,82,38.897222,-77.019347,31
80,New York Ave & 15th St NW,83,38.89903234416315,-77.03335404396057,19
81,Convention Center / 7th & M St NW,84,38.905737,-77.02227,23
82,Harvard St & Adams Mill Rd NW,85,38.927872,-77.043358,15
83,18th & L St NW,86,38.903741450919384,-77.04245209693909,19
84,C & O Canal & Wisconsin Ave NW,87,38.90375,-77.06269,23
85,Maine Ave & 7th St SW,88,38.878693599396954,-77.02305436134338,19
86,D St & Maryland Ave NE,89,38.894758,-76.997114,23
87,34th St & Wisconsin Ave NW,90,38.916442,-77.0682,11
88,13th St & New York Ave NW,91,38.900283,-77.029822,23
89,8th & H St NW,92,38.8997,-77.023086,33
90,10th & Monroe St NE,93,38.932514,-76.992889,15
91,Eckington Pl & Q St NE,94,38.910972,-77.00495,23
92,6th & H St NE,95,38.899972,-76.998347,23
93,3rd & H St NE,96,38.900412,-77.001949,19
94,Bladensburg Rd & Benning Rd NE,97,38.900413,-76.982872,15
95,4th & East Capitol St NE,98,38.889955,-77.000349,11
96,Lincoln Park / 13th & East Capitol St NE ,99,38.890461,-76.988355,25
97,Branch & Pennsylvania Ave SE,100,38.8692,-76.9599,11
98,13th & D St NE,101,38.894832,-76.987633,31
99,New Hampshire Ave & T St NW,102,38.915544,-77.038252,23
100,Metro Center / 12th & G St NW,103,38.898364,-77.027869,39
101,14th & D St NW / Ronald Reagan Building,104,38.894514,-77.031617,25
102,7th & F St NW / National Portrait Gallery,105,38.89728304853854,-77.02219069004059,27
103,17th & K St NW / Farragut Square,106,38.902061,-77.038322,35
104,20th & O St NW / Dupont South,107,38.908905,-77.04478,19
105,4th & D St NW / Judiciary Square,108,38.895344,-77.016106,15
106,19th St & Constitution Ave NW,109,38.8923,-77.0436,35
107,37th & O St NW / Georgetown University,110,38.90774,-77.071652,23
108,11th & H St NE,111,38.899983,-76.991383,19
109,25th St & Pennsylvania Ave NW,112,38.903827,-77.053485,15
110,Columbus Circle / Union Station,113,38.89696,-77.00493,55
111,North Capitol St & F St NW,114,38.897446,-77.009888,23
112,11th & M St NW,115,38.9055785,-77.027313,19
113,36th & Calvert St NW / Glover Park,116,38.922581,-77.070334,15
114,14th & G St NW,117,38.898409,-77.032278,23
115,Potomac Ave & 35th St S,118,38.844015,-77.050537,23
116,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,124,38.88412,-77.04657,31
117,11th & F St NW,125,38.897857,-77.026975,15
118,23rd & E St NW ,126,38.896104,-77.049882,19
119,Lynn St & 19th St North,127,38.897315,-77.070993,27
120,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,128,38.8946,-77.072305,19
121,Clarendon Blvd & Pierce St,129,38.893438,-77.076389,15
122,Wilson Blvd & N Uhle St,130,38.891696,-77.0846,15
123,Rhodes St & 16th St N,131,38.892164,-77.079375,11
124,Fairfax Village,132,38.86559,-76.952103,15
125,21st St & Constitution Ave NW,133,38.892459,-77.046567,15
126,Wilson Blvd & N Edgewood St,134,38.889,-77.0925,15
127,Columbia Rd & Belmont St NW,135,38.920669,-77.04368,19
128,Rhode Island & Connecticut Ave NW,136,38.905995699991145,-77.03980207443237,23
129,Thomas Circle,137,38.9059,-77.0325,33
130,Wilson Blvd & N Franklin Rd,138,38.8904,-77.0889,11
131,Clarendon Blvd & N Fillmore St,139,38.8881,-77.09308,15
132,Clarendon Metro / Wilson Blvd & N Highland St,140,38.88786,-77.094875,17
133,18th St & Pennsylvania Ave NW,141,38.899680000000004,-77.041539,26
134,4th & C St SW,142,38.88637194054526,-77.01770067214966,39
135,4th & E St SW,143,38.88412,-77.017445,19
136,3rd & G St SE,144,38.881185,-77.001828,19
137,7th & R St NW / Shaw Library,145,38.912719,-77.022155,15
138,9th & Upshur St NW,146,38.9418,-77.0251,15
139,1st & Rhode Island Ave NW,147,38.915417,-77.012289,15
140,Columbia Rd & Georgia Ave NW,148,38.92812111132096,-77.0237946510315,19
141,California St & Florida Ave NW,149,38.917761,-77.04062,19
142,Benning Rd & East Capitol St NE / Benning Rd Metro,150,38.889935,-76.93723,19
143,3000 Connecticut Ave NW / National Zoo,151,38.930282,-77.055599,15
144,Anacostia Ave & Benning Rd NE / River Terrace ,152,38.896544,-76.96012,15
145,M St & Pennsylvania Ave NW,153,38.905126,-77.056887,19
146,15th St & Massachusetts Ave SE,154,38.88732,-76.983569,15
147,Congress Heights Metro,155,38.844711,-76.987823,15
148,N Quincy St & Glebe Rd,156,38.876393,-77.107735,11
149,Barcroft Community Center,157,38.85033657788445,-77.1009886264801,11
150,N Veitch St & 20th St N,158,38.896923,-77.086502,15
151,10th & K St NW,159,38.9024,-77.02622,23
152,Fairfax Dr & Wilson Blvd,160,38.885801,-77.097745,11
153,Wilson Blvd & N Quinn St,161,38.893993,-77.07857,11
154,1st & K St SE,162,38.878854378063295,-77.00572729110718,15
155,39th & Calvert St NW / Stoddert,163,38.922649,-77.077271,19
