;station_name;station_id;lat;lon
0;5th St & Massachusetts Ave NW;31265;38.90094783333333;-77.01871283333334
1;14th & V St NW;31101;38.917736833333336;-77.03185633333334
2;36th & Calvert St NW / Glover Park;31304;38.922581;-77.070334
3;North Capitol St & F St NW;31624;38.897446;-77.009888
4;Benning Branch Library;31705;38.894;-76.947974
5;8th & O St NW;31281;38.908640000000005;-77.02277
6;West Falls Church Metro;32232;38.9001;-77.1887
7;Sunset Hills Rd & Isaac Newton Square;32220;38.951443;-77.340377
8;Arlington Blvd & S George Mason Dr;31078;38.869442;-77.10450300000001
9;Utah St & 11th St N;31049;38.883669;-77.113905
10;Columbia Pike & S Courthouse Rd;31053;38.863833;-77.08031899999999
11;Wilson Blvd. & N. Vermont St.;31926;38.879568;-77.11440433333334
12;Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center;31523;38.915;-77.0078
13;Georgia Ave & Piney Branch Rd NW;31414;38.967529;-77.02795733333333
14;Glebe Rd & 11th St N;31038;38.883921;-77.116817
15;Clarendon Blvd & N Fillmore St;31021;38.8881;-77.09308
16;Norfolk & Rugby Ave;32028;38.990666999999995;-77.10024616666666
17;New Hampshire Ave & T St NW;31229;38.915544;-77.038252
18;Oklahoma Ave & D St NE;31712;38.894474;-76.974828
19;Adams Mill & Columbia Rd NW;31104;38.922925;-77.04258100000001
20;1st & K St NE;31662;38.902386;-77.005649
21;East Falls Church Metro / Sycamore St & 19th St N;31904;38.88532;-77.15642700000001
22;16th & Irving St NW;31122;38.928893;-77.03625
23;12th & L St NW;31251;38.903819;-77.0284
24;Eastern Market / 7th & North Carolina Ave SE;31610;38.886952;-76.996806
25;Fessenden St & Wisconsin Ave NW;31309;38.95480066666666;-77.08242533333333
26;Madison St & N Henry St;31099;38.813485;-77.049468
27;15th & Euclid St  NW;31117;38.92333;-77.0352
28;Medical Center Metro ;32053;38.999404166666665;-77.097915
29;14th & Girard St NW;31123;38.925284000000005;-77.032375
30;16th & R St NW;31282;38.912652;-77.036278
31;17th St & Independence Ave SW;31290;38.888096999999995;-77.038325
32;Washington & Independence Ave SW/HHS;31272;38.886978000000006;-77.013769
33;Joyce St & 16th St S;31091;38.859254;-77.063275
34;Sligo Ave & Carroll Ln;32058;38.990874;-77.016311
35;Alabama Ave & Stanton Rd SE / Shops at Park Village;31813;38.84627983333333;-76.9817975
36;Smithsonian-National Mall / Jefferson Dr & 12th St SW;31248;38.888774;-77.02869399999999
37;Court House Metro / 15th St & N Uhle St;31089;38.890612;-77.084801
38;Roosevelt Island;31062;38.896553000000004;-77.06714000000001
39;Florida Ave & R St NW;31503;38.9126;-77.0135
40;New Jersey Ave & R St NW;31509;38.912659000000005;-77.017669
41;7th & K St NW;31653;38.902674;-77.021392
42;Reservoir Rd & 38th St NW;31325;38.91268466666666;-77.074273
43;15th & East Capitol St NE;31630;38.889908;-76.983326
44;20th & O St NW / Dupont South;31234;38.908905;-77.04478
45;14th & D St NW / Ronald Reagan Building;31231;38.894514;-77.031617
